,Identificação do dado,Data,Horário,Crescimento médio do feijão (depois de germinar)(cm)
,1,13/10/2025,12:00,"0,042"
,2,13/10/2025,13:00,"0,084"
,3,13/10/2025,14:00,"0,126"
,4,13/10/2025,15:00,"0,168"
,5,13/10/2025,16:00,"0,21"
,6,13/10/2025,17:00,"0,252"
,7,13/10/2025,18:00,"0,294"
,8,13/10/2025,19:00,"0,336"
,9,13/10/2025,20:00,"0,378"
,10,13/10/2025,21:00,"0,42"
,11,13/10/2025,22:00,"0,462"
,12,13/10/2025,23:00,"0,504"
,13,13/10/2025,00:00,"0,546"
,14,14/10/2025,01:00,"0,588"
,15,14/10/2025,02:00,"0,63"
,16,14/10/2025,03:00,"0,672"
,17,14/10/2025,04:00,"0,714"
,18,14/10/2025,05:00,"0,756"
,19,14/10/2025,06:00,"0,798"
,20,14/10/2025,07:00,"0,84"
,21,14/10/2025,08:00,"0,882"
,22,14/10/2025,09:00,"0,924"
,23,14/10/2025,10:00,"0,966"
,24,14/10/2025,11:00,"1,008"
,25,14/10/2025,12:00,"1,05"
,26,14/10/2025,13:00,"1,092"
,27,14/10/2025,14:00,"1,134"
,28,14/10/2025,15:00,"1,176"
,29,14/10/2025,16:00,"1,218"
,30,14/10/2025,17:00,"1,26"
,31,14/10/2025,18:00,"1,302"
,32,14/10/2025,19:00,"1,344"
,33,14/10/2025,20:00,"1,386"
,34,14/10/2025,21:00,"1,428"
,35,14/10/2025,22:00,"1,47"
,36,14/10/2025,23:00,"1,512"
,37,14/10/2025,00:00,"1,554"
,38,15/10/2025,01:00,"1,596"
,39,15/10/2025,02:00,"1,638"
,40,15/10/2025,03:00,"1,68"
,41,15/10/2025,04:00,"1,722"
,42,15/10/2025,05:00,"1,764"
,43,15/10/2025,06:00,"1,806"
,44,15/10/2025,07:00,"1,848"
,45,15/10/2025,08:00,"1,89"
,46,15/10/2025,09:00,"1,932"
,47,15/10/2025,10:00,"1,974"
,48,15/10/2025,11:00,"2,016"
,49,15/10/2025,12:00,"2,058"
,50,15/10/2025,13:00,"2,1"
,51,15/10/2025,14:00,"2,142"
,52,15/10/2025,15:00,"2,184"
,53,15/10/2025,16:00,"2,226"
,54,15/10/2025,17:00,"2,268"
,55,15/10/2025,18:00,"2,31"
,56,15/10/2025,19:00,"2,352"
,57,15/10/2025,20:00,"2,394"
,58,15/10/2025,21:00,"2,436"
,59,15/10/2025,22:00,"2,478"
,60,15/10/2025,23:00,"2,52"
,61,15/10/2025,00:00,"2,562"
,62,16/10/2025,01:00,"2,604"
,63,16/10/2025,02:00,"2,646"
,64,16/10/2025,03:00,"2,688"
,65,16/10/2025,04:00,"2,73"
,66,16/10/2025,05:00,"2,772"
,67,16/10/2025,06:00,"2,814"
,68,16/10/2025,07:00,"2,856"
